,brand,km_driven,fuel,owner,selling_price
0,Maruti,145500,Diesel,First Owner,450000
1,Skoda,120000,Diesel,Second Owner,370000
2,Honda,140000,Petrol,Third Owner,158000
3,Hyundai,127000,Diesel,First Owner,225000
4,Maruti,120000,Petrol,First Owner,130000
5,Hyundai,45000,Petrol,First Owner,440000
6,Maruti,175000,LPG,First Owner,96000
7,Maruti,5000,Petrol,Second Owner,45000
8,Toyota,90000,Diesel,First Owner,350000
9,Ford,169000,Diesel,First Owner,200000
10,Renault,68000,Diesel,Second Owner,500000
11,Maruti,100000,Petrol,Second Owner,92000
12,Maruti,140000,Diesel,Second Owner,280000
13,Maruti,80000,Petrol,Second Owner,200000
14,Maruti,90000,Petrol,Second Owner,180000
15,Mahindra,40000,Petrol,First Owner,400000
16,Maruti,70000,Diesel,Second Owner,778000
17,Hyundai,53000,Diesel,Second Owner,500000
18,Maruti,80000,Petrol,Second Owner,150000
19,Hyundai,100000,Diesel,First Owner,680000
20,Mahindra,100000,Diesel,Second Owner,174000
21,Honda,50000,Diesel,First Owner,950000
22,Maruti,40000,Diesel,First Owner,525000
23,Maruti,72000,Diesel,First Owner,600000
24,Tata,35000,Petrol,First Owner,500000
25,Maruti,45000,Petrol,First Owner,575000
26,Maruti,28000,Petrol,First Owner,275000
27,Chevrolet,70000,Diesel,First Owner,300000
28,Maruti,120000,Petrol,First Owner,220000
29,Maruti,25000,Petrol,First Owner,254999
30,Maruti,70000,Diesel,First Owner,670000
31,Fiat,50000,Petrol,Second Owner,70000
32,Maruti,35000,Petrol,Second Owner,150000
33,Hyundai,2388,Petrol,First Owner,730000
34,Maruti,16200,Diesel,First Owner,650000
35,Maruti,10000,CNG,Second Owner,330000
36,Maruti,15000,Petrol,First Owner,366000
37,Hyundai,5000,Petrol,First Owner,1149000
38,Datsun,42000,Petrol,First Owner,150000
39,Tata,60000,Diesel,Second Owner,425000
40,Maruti,76000,Petrol,First Owner,150000
41,Jeep,5000,Petrol,First Owner,2100000
42,Honda,28900,Petrol,First Owner,925000
43,Honda,86300,Petrol,First Owner,425000
44,Maruti,23300,Petrol,First Owner,675000
45,Maruti,32600,Diesel,First Owner,819999
46,Maruti,10300,Petrol,First Owner,390000
47,Toyota,77000,Diesel,First Owner,1500000
48,Toyota,99000,Diesel,First Owner,700000
49,Mercedes-Benz,27800,Diesel,Second Owner,1450000
50,Honda,49800,Diesel,First Owner,425000
51,Mitsubishi,151000,Diesel,First Owner,1090000
52,Honda,54700,Diesel,First Owner,600000
53,Maruti,64000,Petrol,First Owner,850000
54,Honda,63000,Diesel,First Owner,525000
55,Toyota,127700,Diesel,Second Owner,1650000
56,Toyota,99000,Diesel,First Owner,950000
57,Audi,33900,Diesel,Second Owner,1750000
58,Toyota,25000,Petrol,First Owner,1590000
59,Audi,50000,Diesel,First Owner,1689999
60,Mercedes-Benz,59000,Diesel,First Owner,1425000
61,Tata,120000,Diesel,First Owner,265000
62,Hyundai,110000,Petrol,Third Owner,190000
63,Hyundai,60000,Diesel,First Owner,425000
64,Maruti,147000,Diesel,Second Owner,630000
65,Ford,25000,Petrol,Third Owner,600000
66,Maruti,30000,Petrol,First Owner,650000
67,Volkswagen,40000,Diesel,First Owner,540000
68,Honda,135000,Diesel,First Owner,630000
69,Maruti,30000,Petrol,First Owner,448000
70,Volkswagen,80000,Diesel,First Owner,500000
71,Maruti,70000,Diesel,First Owner,745000
72,Maruti,9850,Diesel,First Owner,1025000
73,Hyundai,60000,Petrol,Second Owner,235000
74,Maruti,70000,Diesel,First Owner,630000
75,Toyota,78000,Diesel,Second Owner,1700000
76,Maruti,120000,Diesel,Second Owner,450000
77,Maruti,120000,Petrol,Second Owner,450000
78,Tata,70000,Diesel,First Owner,50000
79,Volkswagen,170000,Diesel,First Owner,450000
80,Toyota,140000,Diesel,First Owner,1200000
81,Ford,90000,Diesel,First Owner,610000
82,BMW,30000,Petrol,Second Owner,2500000
83,Maruti,10000,Petrol,First Owner,484999
